comment,Subject,"Structure, Orient",Locus,Scope,Tone
"Because the day isn’t as important for your experiment (There’s no reason why we’d expect the caterpillars to behave differently in terms of feeding for a certain day), I would recommend having a graph with the average food eaten across all days rather than  having it broken up into 7 days.",3. Technical and Scientific,Specific info,Directive,Within Report,FLAG
"In addition, any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly)",3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
Incubator (at 27C),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Roughly 50 microliter (µL),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
This is not needed as most people reading this will be able to assume the caterpillars were differentiable somehow.,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,FLAG
Try looking for the active ingredient in Precor. It uses a JH analogue rather than JH itself.,3. Technical and Scientific,General info,Directive,Within Report,Neutral
Try looking in the resource guide under the citations section for how to cite the lab manual.,3. Technical and Scientific,General info,Explanatory,Within Report,Neutral
"You could also rephrase this as “In (scientific name of flies), it was shown that…”",2. Writing Quality,Specific info,Corrective,Within Report,Neutral
You only need to say what statistical test was used. ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Chart is not needed,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Chart not needed,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
I would exclude this isn’t an actual citation and the readers do not have access to this specific case study.,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
I would leave this as “Martin’s IGR” as you explain the dilution later on in the methods,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
There’s always some uncertainties in science and words such as “prove” and “correct” should be avoided.,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
And this,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Grade: 3 TFGreat job!  Just needs a little fixing.,12. Narrative Comments,General info,Directive,Within Report,Positive
Great abstract,5. Praise or Concern,General info,Explanatory,Within Report,Positive
Great figures,5. Praise or Concern,General info,Explanatory,Within Report,Positive
"Great intro, but is a little long.  Try to look it over and see what the most important things are and don’t worry about the rest so much.",2. Writing Quality,General info,Directive,Within Report,Positive
Maybe try a different data analysis. Calculate the change in length from day 1 -8 and run a t-test on those values,3. Technical and Scientific,Specific info,Directive,Within Report,FLAG
Save the for the discussion,2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Some of this stuff would fit better in the results, then you can reference it in your discussion when you want to use it as evidence for your argument.",2. Writing Quality,Specific info,Directive,Within Report,Neutral
This is almost significant. Maybe using weight change would be more effective,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
This section is a little long. Try to shorten this if you can by stating some of the observations in the results and referencing them in the discussion.,2. Writing Quality,Specific info,Directive,Within Report,Neutral
What statistics test did you run? And on what data?,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"You are right to think this data my be invalid, but you should leave those sentences for the discussion, however you are right to include the findings in your results.",2. Writing Quality,Specific info,Directive,Within Report,Neutral
"You should have a short paragraph that sums up your results.  Include things like the average change in weight or length, your statistics results, and anything else you might bring up in your discussion as evidence.",2. Writing Quality,Specific info,Directive,Within Report,Neutral
Caterpillar,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
List the p-value again,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Rework how these are written, average 1.155 +/- 0.92. And make it consistent, average than standard dev",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
"What is this, another caterpillar/moth or holometabolous insect, get a little more specific in the future",4. Logic and Thinking,Specific info,Directive,Beyond Report,Neutral
You can add the p-value here to help support your statement,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
You can condense this into one sentence in the future just summarizing it. ,2. Writing Quality,General info,Directive,Within Report,Neutral
"Your hypothesis should be the last sentence of the intro, either move this into methods or put it before the hypothesis",2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Cite,3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
Discuss the results based on what you did and the results obtained. The error part can be discussed at the end as areas of improvement if you have to do the experiment again.,4. Logic and Thinking,Copy Correction,Directive,Within Report,Neutral
I would put the hypothesis in biological context here rather than stats. What is the reasoning behind your hypothesis? This usually comes from previous studies.,4. Logic and Thinking,Specific info,Reflective,Within Report,Neutral
Take to discussion,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Use the means (average) for each group to graph your data. You were looking for the effect of IGR between 2 groups and not between replicates. As you can see in Fig. 1; the groups next to each other are not experimentally paired.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
You had 2. Control vs Experimental.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
